,date_trunc,bge,organization
0,"Jan
18",99415,112736
1,"Feb
18",107928,120830
2,"Mar
18",111776,124399
3,"Apr
18",117483,129657
4,"Apr
18",124232,136320
5,"Jun
18",127551,139118
6,"Jul
18",131136,142750
7,"Jul
18",134362,145914
8,"Sep
18",134497,145715
9,"Oct
18",141711,152947
10,"Nov
18",143849,154424
11,"Dec
18",155295,165121
12,"Jan
19",165025,173954
13,"Feb
19",174064,182483
14,"Mar
19",182339,189708
15,"Apr
19",198864,199777
16,"Apr
19",218804,215947
17,"Jun
19",224224,211595
18,"Jul
19",235734,213928
19,"Aug
19",242485,215417
20,"Sep
19",254243,219493
21,"Oct
19",260926,221927
22,"Nov
19",268636,226426
