,donation_value,num_total_donations,total_donation_value
36,47,1,47
41,53,1,53
48,85,1,85
52,170,1,170
43,57,3,171
31,38,6,228
50,120,2,240
35,46,6,276
27,31,9,279
33,44,7,308
44,58,7,406
38,49,11,539
47,70,8,560
46,66,11,726
34,45,18,810
42,55,16,880
51,150,7,1050
40,51,21,1071
37,48,23,1104
30,36,34,1224
22,23,61,1403
18,19,99,1881
29,35,60,2100
45,60,41,2460
21,22,126,2772
20,21,134,2814
23,24,124,2976
16,17,189,3213
25,26,135,3510
28,33,122,4026
17,18,428,7704
32,40,209,8360
13,14,651,9114
53,420,23,9660
15,16,656,10496
12,13,914,11882
10,11,1853,20383
49,100,258,25800
8,9,2912,26208
26,30,951,28530
39,50,637,31850
24,25,1324,33100
11,12,3890,46680
6,7,14396,100772
14,15,8170,122550
19,20,7962,159240
0,1,360313,360313
3,4,114073,456292
2,3,158273,474819
5,6,121524,729144
7,8,97736,781888
1,2,458342,916684
9,10,174137,1741370
4,5,348767,1743835
