,count,acc_created,categorie
0,0,2016-01-01,0
1,3,2016-01-01,more
2,0,2016-01-01,0
3,0,2016-01-01,0
4,0,2016-01-01,0
5,0,2016-01-01,0
6,9,2016-01-01,more
7,0,2016-01-01,0
8,0,2016-01-01,0
9,11,2016-01-01,more
10,0,2016-01-01,0
11,2,2016-01-01,2
12,21,2016-01-01,more
13,0,2016-01-01,0
14,3,2016-01-01,more
15,0,2016-01-01,0
16,0,2016-01-01,0
17,0,2016-01-01,0
18,0,2016-01-01,0
19,8,2016-01-01,more
20,0,2016-01-01,0
21,0,2016-01-01,0
22,0,2016-01-01,0
23,0,2016-01-01,0
24,0,2016-01-01,0
25,6,2016-01-01,more
26,0,2016-01-01,0
27,0,2016-01-01,0
28,0,2016-01-01,0
29,0,2016-01-01,0
30,3,2016-01-01,more
31,0,2016-01-01,0
32,0,2016-01-01,0
33,1,2016-01-01,1
34,0,2016-01-01,0
35,0,2016-01-01,0
36,0,2016-01-01,0
37,0,2016-01-01,0
38,0,2016-01-01,0
39,0,2016-01-01,0
40,0,2016-01-01,0
41,0,2016-01-01,0
42,0,2016-01-01,0
43,6,2016-01-01,more
44,0,2016-01-01,0
45,0,2016-01-01,0
46,0,2016-01-01,0
47,0,2016-01-01,0
48,0,2016-01-01,0
49,1,2016-01-01,1
50,0,2016-01-01,0
51,0,2016-01-01,0
52,0,2016-01-01,0
53,3,2016-01-01,more
54,0,2016-01-01,0
55,0,2016-01-01,0
56,0,2016-01-01,0
57,10,2016-01-01,more
58,3,2016-01-01,more
59,0,2016-01-01,0
60,24,2016-01-01,more
61,0,2016-01-01,0
62,0,2016-01-01,0
63,13,2016-01-01,more
64,0,2016-01-01,0
65,10,2016-01-01,more
66,0,2016-01-01,0
67,0,2016-01-01,0
68,0,2016-01-01,0
69,0,2016-01-01,0
70,24,2016-01-01,more
71,0,2016-01-01,0
72,11,2016-01-01,more
73,0,2016-01-01,0
74,0,2016-01-01,0
75,15,2016-01-01,more
76,4,2016-01-01,more
77,13,2016-01-01,more
78,0,2016-01-01,0
79,0,2016-01-01,0
80,0,2016-01-01,0
81,7,2016-01-01,more
82,0,2016-01-01,0
83,0,2016-01-01,0
84,10,2016-01-01,more
85,6,2016-01-01,more
86,0,2016-01-01,0
87,0,2016-01-01,0
88,0,2016-01-01,0
89,7,2016-01-01,more
90,0,2016-01-01,0
91,0,2016-01-01,0
92,0,2016-01-01,0
93,0,2016-01-01,0
94,3,2016-01-01,more
95,0,2016-01-01,0
96,0,2016-01-01,0
97,0,2016-01-01,0
98,0,2016-01-01,0
99,0,2016-01-01,0
100,9,2016-01-01,more
101,0,2016-01-01,0
102,0,2016-01-01,0
103,0,2016-01-01,0
104,1,2016-01-01,1
105,0,2016-01-01,0
106,0,2016-01-01,0
107,0,2016-01-01,0
108,0,2016-01-01,0
109,30,2016-01-01,more
110,7,2016-01-01,more
111,0,2016-01-01,0
112,0,2016-01-01,0
113,0,2016-01-01,0
114,31,2016-01-01,more
115,6,2016-01-01,more
116,13,2016-01-01,more
117,3,2016-01-01,more
118,0,2016-01-01,0
119,14,2016-01-01,more
120,0,2016-01-01,0
121,0,2016-01-01,0
122,0,2016-01-01,0
123,8,2016-01-01,more
124,3,2016-01-01,more
125,0,2016-01-01,0
126,0,2016-01-01,0
127,18,2016-01-01,more
128,0,2016-01-01,0
129,0,2016-01-01,0
130,0,2016-01-01,0
131,0,2016-01-01,0
132,0,2016-01-01,0
133,0,2016-01-01,0
134,0,2016-01-01,0
135,0,2016-01-01,0
136,29,2016-01-01,more
137,0,2016-01-01,0
138,0,2016-01-01,0
139,0,2016-01-01,0
140,17,2016-01-01,more
141,0,2016-01-01,0
142,4,2016-01-01,more
143,0,2016-01-01,0
144,0,2016-01-01,0
145,21,2016-01-01,more
146,0,2016-01-01,0
147,0,2016-01-01,0
148,0,2016-01-01,0
149,0,2016-01-01,0
150,0,2016-01-01,0
151,0,2016-01-01,0
152,0,2016-01-01,0
153,0,2016-01-01,0
