,index,acc_created,acc_deleted
0,"Sep
14",23815,0.0
1,"Oct
14",1449,0.0
2,"Nov
14",2429,0.0
3,"Dec
14",519,0.0
4,"Jan
15",2819,0.0
5,"Feb
15",4019,0.0
6,"Mar
15",15983,0.0
7,"Apr
15",4507,0.0
8,"May
15",3418,0.0
9,"Jun
15",3620,0.0
10,"Jul
15",2864,0.0
11,"Aug
15",2004,0.0
12,"Sep
15",8587,0.0
13,"Oct
15",57492,0.0
14,"Nov
15",39239,0.0
15,"Dec
15",8165,0.0
16,"Jan
16",31643,0.0
17,"Feb
16",25356,0.0
18,"Mar
16",40113,0.0
19,"Apr
16",6288,0.0
20,"May
16",17818,0.0
21,"Jun
16",31549,0.0
22,"Jul
16",3121,0.0
23,"Aug
16",8916,0.0
24,"Sep
16",2681,0.0
25,"Oct
16",3697,0.0
26,"Nov
16",9427,0.0
27,"Dec
16",4448,0.0
28,"Jan
17",3248,0.0
29,"Feb
17",16286,0.0
30,"Mar
17",42990,-278.0
31,"Apr
17",36459,-773.0
32,"May
17",34787,-472.0
33,"Jun
17",15452,-446.0
34,"Jul
17",214527,-1121.0
35,"Aug
17",13928,-226.0
36,"Sep
17",81085,-506.0
37,"Oct
17",12237,-315.0
38,"Nov
17",21950,-442.0
39,"Dec
17",15573,-395.0
40,"Jan
18",24849,-373.0
41,"Feb
18",11871,-257.0
42,"Mar
18",20888,-386.0
43,"Apr
18",17667,-338.0
44,"May
18",18800,-382.0
45,"Jun
18",9359,-253.0
46,"Jul
18",14704,-287.0
47,"Aug
18",7202,-198.0
48,"Sep
18",23755,-344.0
49,"Oct
18",12342,-318.0
50,"Nov
18",111346,-939.0
51,"Dec
18",48454,-804.0
52,"Jan
19",54933,-937.0
53,"Feb
19",45928,-1472.0
54,"Mar
19",42868,-889.0
55,"Apr
19",36654,-542.0
56,"May
19",40772,-627.0
57,"Jun
19",28294,-575.0
58,"Jul
19",20891,-386.0
59,"Aug
19",29236,-562.0
60,"Sep
19",27797,-562.0
61,"Oct
19",30724,-613.0
62,"Nov
19",27339,-352.0
